generation,minimum,mean,maximum
0,82.89570334244539,178.260120945991,321.72120159568817
1,56.487471210485275,95.87493640022853,184.75251199551033
2,29.061895600033267,59.14553114828418,91.68132101291009
3,14.754153636611935,33.67591704465383,65.50450445327195
4,5.596820865281389,22.563210828620825,45.54977424277581
5,2.7750509133003862,9.489783940133664,19.162136453834755
6,1.3314028507664777,5.908847204817336,10.014218242212781
7,0.9127681270236765,4.124124137164069,8.139261368824176
8,0.7150620030778376,2.7552864285345082,7.460672162222282
9,0.36083289423724146,1.9173435385422728,6.521474831021648
10,0.36083289423724146,1.0485120340576086,1.8665700752294259
11,0.36083289423724146,0.7888099142697266,1.4122084237765025
12,0.36083289423724146,0.6749126058981737,1.4122084237765025
13,0.36083289423724146,0.57327151872838,1.1222866829725773
14,0.36083289423724146,0.5395205746858268,1.1222866829725773
15,0.26031428990780514,0.4919351342823666,1.1222866829725773
16,0.26031428990780514,0.4828356869655285,1.1222866829725773
17,0.26031428990780514,0.46424386755036406,0.8860712493510848
18,0.26031428990780514,0.45483113698795713,0.8302987812055406
19,0.26031428990780514,0.44383912817882587,0.6179073755522502
20,0.26031428990780514,0.43219220256968616,0.6179073755522502
21,0.26031428990780514,0.4314715458296713,0.6179073755522502
22,0.26031428990780514,0.4190656767076214,0.5345130193612684
23,0.22509622532849205,0.40839451829290896,0.5038006802465733
24,0.22509622532849205,0.4083683698095985,0.5038006802465733
25,0.22509622532849205,0.4062687389806709,0.5038006802465733
26,0.22509622532849205,0.4062094419224008,0.5038006802465733
27,0.22509622532849205,0.4062094419224008,0.5038006802465733
28,0.22509622532849205,0.4062094419224008,0.5038006802465733
29,0.22509622532849205,0.4050495739803897,0.4952049986473557
30,0.22509622532849205,0.4024743906387466,0.4952049986473557
31,0.22509622532849205,0.4024743906387466,0.4952049986473557
32,0.22509622532849205,0.4024743906387466,0.4952049986473557
33,0.22509622532849205,0.39381992024122175,0.4952049986473557
34,0.22509622532849205,0.3922313570381833,0.4952049986473557
35,0.22509622532849205,0.3922313570381833,0.4952049986473557
36,0.22509622532849205,0.3922313570381833,0.4952049986473557
37,0.22509622532849205,0.39044486623546415,0.4952049986473557
38,0.22509622532849205,0.3899840768762989,0.4952049986473557
39,0.22509622532849205,0.3899840768762989,0.4952049986473557
40,0.22509622532849205,0.3899840768762989,0.4952049986473557
41,0.22509622532849205,0.3872148519667552,0.4952049986473557
42,0.22509622532849205,0.3872148519667552,0.4952049986473557
43,0.22509622532849205,0.3872148519667552,0.4952049986473557
44,0.22509622532849205,0.38183156027201043,0.4952049986473557
45,0.22509622532849205,0.3804784734323292,0.4952049986473557
46,0.22509622532849205,0.3804784734323292,0.4952049986473557
47,0.22509622532849205,0.3781774958572028,0.48751205271935566
48,0.22509622532849205,0.3781774958572028,0.48751205271935566
49,0.22509622532849205,0.3781774958572028,0.48751205271935566
50,0.22509622532849205,0.3781774958572028,0.48751205271935566
51,0.22509622532849205,0.37498658290504333,0.48751205271935566
52,0.22509622532849205,0.37498658290504333,0.48751205271935566
53,0.22509622532849205,0.37498658290504333,0.48751205271935566
54,0.22509622532849205,0.37498658290504333,0.48751205271935566
55,0.22509622532849205,0.37498658290504333,0.48751205271935566
56,0.22509622532849205,0.37498658290504333,0.48751205271935566
57,0.22509622532849205,0.3724231053896335,0.4568079252461134
58,0.22509622532849205,0.3687855185575131,0.4568079252461134
59,0.22509622532849205,0.3687855185575131,0.4568079252461134
60,0.22509622532849205,0.3687855185575131,0.4568079252461134
61,0.22509622532849205,0.3687855185575131,0.4568079252461134
62,0.22509622532849205,0.3687855185575131,0.4568079252461134
63,0.22509622532849205,0.36782093914664776,0.4568079252461134
64,0.22509622532849205,0.36782093914664776,0.4568079252461134
65,0.22509622532849205,0.36782093914664776,0.4568079252461134
66,0.22509622532849205,0.36782093914664776,0.4568079252461134
67,0.22509622532849205,0.3661788092769501,0.4568079252461134
68,0.22509622532849205,0.3661788092769501,0.4568079252461134
69,0.22509622532849205,0.3661788092769501,0.4568079252461134
70,0.22509622532849205,0.3661788092769501,0.4568079252461134
71,0.22509622532849205,0.3661788092769501,0.4568079252461134
72,0.22509622532849205,0.3657683559443869,0.4568079252461134
73,0.22509622532849205,0.3657683559443869,0.4568079252461134
74,0.22509622532849205,0.3657683559443869,0.4568079252461134
75,0.22509622532849205,0.3650165531123908,0.4568079252461134
76,0.22509622532849205,0.3650165531123908,0.4568079252461134
77,0.22509622532849205,0.3650165531123908,0.4568079252461134
78,0.22509622532849205,0.3649814306294232,0.4568079252461134
79,0.22509622532849205,0.36413676235213344,0.4568079252461134
80,0.22509622532849205,0.36413676235213344,0.4568079252461134
81,0.22509622532849205,0.36413676235213344,0.4568079252461134
82,0.22509622532849205,0.36413676235213344,0.4568079252461134
83,0.22509622532849205,0.36313090664708164,0.4568079252461134
84,0.22509622532849205,0.36311587814080526,0.4568079252461134
85,0.22509622532849205,0.36311587814080526,0.4568079252461134
86,0.22509622532849205,0.36311587814080526,0.4568079252461134
87,0.22509622532849205,0.36311587814080526,0.4568079252461134
88,0.22509622532849205,0.36311587814080526,0.4568079252461134
89,0.22509622532849205,0.36311587814080526,0.4568079252461134
90,0.22509622532849205,0.36311587814080526,0.4568079252461134
91,0.22509622532849205,0.36311587814080526,0.4568079252461134
92,0.22509622532849205,0.36311587814080526,0.4568079252461134
93,0.22509622532849205,0.36311587814080526,0.4568079252461134
94,0.22509622532849205,0.35902597536928643,0.4568079252461134
95,0.22509622532849205,0.35902597536928643,0.4568079252461134
96,0.22509622532849205,0.35902597536928643,0.4568079252461134
97,0.22509622532849205,0.35902597536928643,0.4568079252461134
98,0.22509622532849205,0.35902597536928643,0.4568079252461134
99,0.22509622532849205,0.35902597536928643,0.4568079252461134
100,0.22509622532849205,0.35902597536928643,0.4568079252461134
101,0.22509622532849205,0.35902597536928643,0.4568079252461134
102,0.22509622532849205,0.35902597536928643,0.4568079252461134
103,0.22509622532849205,0.35902597536928643,0.4568079252461134
104,0.22509622532849205,0.35902597536928643,0.4568079252461134
105,0.22509622532849205,0.35902597536928643,0.4568079252461134
106,0.22509622532849205,0.35902597536928643,0.4568079252461134
107,0.22509622532849205,0.35902597536928643,0.4568079252461134
108,0.22509622532849205,0.35902597536928643,0.4568079252461134
109,0.22509622532849205,0.35902597536928643,0.4568079252461134
110,0.22509622532849205,0.3548512824512774,0.43624250241115997
111,0.22509622532849205,0.3548512824512774,0.43624250241115997
112,0.22509622532849205,0.3548512824512774,0.43624250241115997
113,0.22509622532849205,0.35351738090589696,0.43624250241115997
114,0.22509622532849205,0.35351738090589696,0.43624250241115997
115,0.22509622532849205,0.35351738090589696,0.43624250241115997
116,0.22509622532849205,0.35351738090589696,0.43624250241115997
117,0.22509622532849205,0.35351738090589696,0.43624250241115997
118,0.22509622532849205,0.3513228459595913,0.43624250241115997
119,0.22509622532849205,0.3513228459595913,0.43624250241115997
120,0.22509622532849205,0.3513228459595913,0.43624250241115997
121,0.22509622532849205,0.3513228459595913,0.43624250241115997
122,0.22509622532849205,0.3455307503089778,0.43624250241115997
123,0.22509622532849205,0.3455307503089778,0.43624250241115997
124,0.22509622532849205,0.3455307503089778,0.43624250241115997
125,0.22509622532849205,0.3455307503089778,0.43624250241115997
126,0.22509622532849205,0.3455307503089778,0.43624250241115997
127,0.22509622532849205,0.3455307503089778,0.43624250241115997
128,0.22509622532849205,0.3435890773644031,0.43624250241115997
129,0.22509622532849205,0.3435890773644031,0.43624250241115997
130,0.22509622532849205,0.3435890773644031,0.43624250241115997
131,0.22509622532849205,0.3435890773644031,0.43624250241115997
132,0.22509622532849205,0.3435890773644031,0.43624250241115997
133,0.22509622532849205,0.3435890773644031,0.43624250241115997
134,0.22509622532849205,0.3435890773644031,0.43624250241115997
135,0.22509622532849205,0.3435890773644031,0.43624250241115997
136,0.22509622532849205,0.3435890773644031,0.43624250241115997
137,0.22509622532849205,0.3435890773644031,0.43624250241115997
138,0.22509622532849205,0.3435890773644031,0.43624250241115997
139,0.22509622532849205,0.3435890773644031,0.43624250241115997
140,0.22509622532849205,0.3435890773644031,0.43624250241115997
141,0.22509622532849205,0.3435890773644031,0.43624250241115997
142,0.22509622532849205,0.3435890773644031,0.43624250241115997
143,0.22509622532849205,0.3435890773644031,0.43624250241115997
144,0.22509622532849205,0.3420651559409559,0.43624250241115997
145,0.22509622532849205,0.3420651559409559,0.43624250241115997
146,0.22509622532849205,0.33763637206751335,0.43624250241115997
147,0.22509622532849205,0.33763637206751335,0.43624250241115997
148,0.22509622532849205,0.33763637206751335,0.43624250241115997
149,0.22509622532849205,0.33763637206751335,0.43624250241115997
150,0.22509622532849205,0.33763637206751335,0.43624250241115997
151,0.22509622532849205,0.33763637206751335,0.43624250241115997
152,0.22509622532849205,0.3375813617708334,0.43624250241115997
153,0.22509622532849205,0.3375813617708334,0.43624250241115997
154,0.22509622532849205,0.3375813617708334,0.43624250241115997
155,0.22509622532849205,0.3375813617708334,0.43624250241115997
156,0.22509622532849205,0.3375813617708334,0.43624250241115997
157,0.22509622532849205,0.3375813617708334,0.43624250241115997
158,0.22509622532849205,0.3375813617708334,0.43624250241115997
