description,feasible,fitness,utility,cost,calorie_violation,variety_shortage,repeat_excess,overspend,unique_dishes,individual
допустимый: лучший план,True,-1936,1936,3266,0,0,0,0,15,"[9, 16, 33, 0, 22, 24, 5, 14, 35, 11, 16, 35, 4, 23, 33, 4, 14, 27, 0, 13, 28]"
допустимый: восстановленный случайный,True,-1621,1621,3379,0,0,0,0,17,"[11, 22, 26, 4, 22, 34, 1, 17, 33, 2, 12, 30, 6, 13, 25, 2, 17, 31, 9, 19, 30]"
недопустимый: однообразное меню,False,79159,1841,3388,0,12,15,0,3,"[0, 12, 24, 0, 12, 24, 0, 12, 24, 0, 12, 24, 0, 12, 24, 0, 12, 24, 0, 12, 24]"
недопустимый: превышение бюджета,False,647418,1582,4368,0,12,15,568,3,"[10, 13, 34, 10, 13, 34, 10, 13, 34, 10, 13, 34, 10, 13, 34, 10, 13, 34, 10, 13, 34]"
