description,feasible,violations,fitness,individual
допустимый: жадный,True,0,-12467,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 4, 2, 1, 11, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 2]"
допустимый: восстановленный максимум,True,0,-9849,"[11, 2, 1, 5, 11, 1, 10, 5, 10, 8, 3, 4, 5, 4, 1, 8, 4, 1, 7, 6, 4, 12, 2, 4, 4, 10, 4, 6, 9, 9]"
недопустимый: ниже минимальных запасов,False,60,180000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
недопустимый: превышение бюджета,False,1,234320,"[16, 7, 6, 10, 16, 6, 15, 10, 15, 13, 8, 9, 10, 10, 7, 13, 9, 7, 12, 11, 9, 18, 8, 10, 9, 16, 10, 12, 14, 15]"
